,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
269,famrel,"Medu, G3, G1",0.7620253164556962,0.26582278481012656,0.20759493670886076,0.2724252491694352,1.0248378421135897,0.005031244992789646,1.009074619964164,0.10184224182667416
270,G3,"Medu, famrel, G1",0.529113924050633,0.21265822784810126,0.20759493670886076,0.39234449760765544,1.8449532923217131,0.09507450729049831,1.2957041762184789,0.9725937581956465
271,G1,"Medu, famrel, G3",0.41265822784810124,0.2582278481012658,0.20759493670886076,0.5030674846625767,1.948153494526645,0.10103509053036373,1.4927019846851068,0.8286375105130362
272,"Medu, famrel, G3",G2,0.2582278481012658,0.6303797468354431,0.2582278481012658,1.0,1.5863453815261044,0.09544624258932863,inf,0.4982935153583618
273,"Medu, famrel, G2",G3,0.31139240506329113,0.529113924050633,0.2582278481012658,0.8292682926829268,1.5672773952619907,0.09346579073866365,2.7580470162748636,0.5256271626297577
274,"Medu, G3, G2",famrel,0.3367088607594937,0.7620253164556962,0.2582278481012658,0.7669172932330827,1.006419703744411,0.0016471719275756858,1.020988158432013,0.009616823828768014
275,"famrel, G3, G2",Medu,0.3924050632911392,0.5822784810126582,0.2582278481012658,0.6580645161290323,1.1301542776998599,0.029738823906425266,1.2216384045856223,0.1895424836601308
276,"Medu, famrel","G3, G2",0.4481012658227848,0.5215189873417722,0.2582278481012658,0.576271186440678,1.1049860128352806,0.02453452972280082,1.1292151898734177,0.17215326497571493
277,"Medu, G3","famrel, G2",0.3367088607594937,0.4860759493670886,0.2582278481012658,0.7669172932330827,1.5777725563909775,0.09456176894728408,2.204899959167007,0.5520880107768298
278,"Medu, G2","famrel, G3",0.39746835443037976,0.4,0.2582278481012658,0.6496815286624203,1.6242038216560508,0.09924050632911391,1.7127272727272724,0.637831603229527
279,"famrel, G3","Medu, G2",0.4,0.39746835443037976,0.2582278481012658,0.6455696202531644,1.6242038216560506,0.09924050632911391,1.6999999999999995,0.6405228758169934
280,"famrel, G2","Medu, G3",0.4860759493670886,0.3367088607594937,0.2582278481012658,0.53125,1.5777725563909775,0.09456176894728408,1.4150210970464134,0.7125470878006372
281,"G3, G2","Medu, famrel",0.5215189873417722,0.4481012658227848,0.2582278481012658,0.4951456310679611,1.1049860128352804,0.02453452972280082,1.0931840311587149,0.19856831621537493
282,Medu,"famrel, G3, G2",0.5822784810126582,0.3924050632911392,0.2582278481012658,0.4434782608695652,1.1301542776998599,0.029738823906425266,1.0917721518987342,0.2756981580510994
283,famrel,"Medu, G3, G2",0.7620253164556962,0.3367088607594937,0.2582278481012658,0.3388704318936877,1.0064197037444107,0.0016471719275756858,1.0032695121175497,0.026804338756778925
284,G3,"Medu, famrel, G2",0.529113924050633,0.31139240506329113,0.2582278481012658,0.48803827751196166,1.5672773952619907,0.09346579073866365,1.3450372648763749,0.7686590765338392
285,G2,"Medu, famrel, G3",0.6303797468354431,0.2582278481012658,0.2582278481012658,0.40963855421686746,1.5863453815261044,0.09544624258932863,1.2564711960733659,1.0
286,"Medu, G3, G2",G1,0.3367088607594937,0.41265822784810124,0.26582278481012656,0.7894736842105262,1.913141750080723,0.1268771030283608,2.789873417721518,0.719592875318066
287,"Medu, G3, G1",G2,0.26582278481012656,0.6303797468354431,0.26582278481012656,1.0,1.5863453815261044,0.09825348501842651,inf,0.5034482758620689
288,"Medu, G2, G1",G3,0.2683544303797468,0.529113924050633,0.26582278481012656,0.9905660377358491,1.8721224158165566,0.12383271911552632,49.913924050632914,0.6367111550502552
289,"G1, G3, G2",Medu,0.4050632911392405,0.5822784810126582,0.26582278481012656,0.6562499999999999,1.1270380434782608,0.029963146931581447,1.2151898734177211,0.1894630192502531
290,"Medu, G3","G1, G2",0.3367088607594937,0.41012658227848103,0.26582278481012656,0.7894736842105262,1.9249512670565299,0.12772953052395444,2.801898734177214,0.7244274809160303
291,"Medu, G2","G1, G3",0.39746835443037976,0.4050632911392405,0.26582278481012656,0.6687898089171974,1.6510748407643312,0.10482294504085882,1.796251217137293,0.6544617847138856
292,"Medu, G1","G3, G2",0.2708860759493671,0.5215189873417722,0.26582278481012656,0.9813084112149532,1.881635060339352,0.12455055279602625,25.598734177215036,0.6426256613756614
293,"G3, G2","Medu, G1",0.5215189873417722,0.2708860759493671,0.26582278481012656,0.5097087378640777,1.8816350603393521,0.12455055279602625,1.4871036470735681,0.9792391030486267
294,"G1, G3","Medu, G2",0.4050632911392405,0.39746835443037976,0.26582278481012656,0.6562499999999999,1.651074840764331,0.10482294504085882,1.7528193325661674,0.6628166160081053
295,"G1, G2","Medu, G3",0.41012658227848103,0.3367088607594937,0.26582278481012656,0.648148148148148,1.9249512670565299,0.12772953052395444,1.8851432378414383,0.8145922746781113
296,Medu,"G1, G3, G2",0.5822784810126582,0.4050632911392405,0.26582278481012656,0.45652173913043476,1.1270380434782608,0.029963146931581447,1.0946835443037977,0.2698412698412696
297,G3,"Medu, G2, G1",0.529113924050633,0.2683544303797468,0.26582278481012656,0.5023923444976076,1.8721224158165568,0.12383271911552632,1.470326192794547,0.9892985151049667
